PERMNO,date,SICCD,TICKER,COMNAM,HSICIG,DIVAMT,BIDLO,ASKHI,PRC,BID,ASK,SPREAD,vwretd,vwretx
10107,31/01/2006,7370,MSFT,MICROSOFT CORP,,,26.28000,28.15000,28.15000,28.15000,28.13000,,0.040044,0.038938
10107,28/02/2006,7370,MSFT,MICROSOFT CORP,,0.09000,26.39000,28.04000,26.87000,26.87000,26.88000,,-0.001637,-0.003552
10107,31/03/2006,7370,MSFT,MICROSOFT CORP,,,26.85000,27.89000,27.21000,27.24000,27.24000,,0.019053,0.017585
10107,28/04/2006,7370,MSFT,MICROSOFT CORP,,,24.15000,27.74000,24.15000,24.16000,24.16000,,0.012965,0.011494
10107,31/05/2006,7370,MSFT,MICROSOFT CORP,,0.09000,22.56000,24.29000,22.65000,22.70000,22.70000,,-0.031045,-0.033025
10107,30/06/2006,7370,MSFT,MICROSOFT CORP,,,21.51000,23.47020,23.30000,23.38000,23.31000,,-0.000386,-0.001881
10107,31/07/2006,7370,MSFT,MICROSOFT CORP,,,22.26000,24.37000,24.06000,24.05000,24.07000,,-0.001884,-0.002927
10107,31/08/2006,7370,MSFT,MICROSOFT CORP,,0.09000,23.99000,26.12000,25.70000,25.68000,25.68000,,0.025048,0.022975
10107,29/09/2006,7370,MSFT,MICROSOFT CORP,,,25.43000,27.44000,27.35000,27.32000,27.33000,,0.019424,0.018105
10107,31/10/2006,7370,MSFT,MICROSOFT CORP,,,27.36000,28.71000,28.71000,28.68000,28.69000,,0.037133,0.036087
10107,30/11/2006,7370,MSFT,MICROSOFT CORP,,0.10000,28.73000,29.92000,29.36000,29.35000,29.37000,,0.023705,0.021340
10107,29/12/2006,7370,MSFT,MICROSOFT CORP,,,28.85000,30.19000,29.86000,29.85000,29.85000,,0.010854,0.009151
10107,31/01/2007,7370,MSFT,MICROSOFT CORP,,,29.64000,31.21000,30.86000,30.86000,30.87000,,0.019401,0.018466
10107,28/02/2007,7370,MSFT,MICROSOFT CORP,,0.10000,27.87000,30.56000,28.17000,28.15000,28.16000,,-0.013994,-0.015985
10107,30/03/2007,7370,MSFT,MICROSOFT CORP,,,26.72000,28.52000,27.87000,27.86000,27.87000,,0.012946,0.011471
10107,30/04/2007,7370,MSFT,MICROSOFT CORP,,,27.74000,30.12000,29.94000,29.94000,29.95000,,0.039821,0.038455
10107,31/05/2007,7370,MSFT,MICROSOFT CORP,,0.10000,30.17000,31.11000,30.69010,30.68000,30.70000,,0.038932,0.036643
10107,29/06/2007,7370,MSFT,MICROSOFT CORP,,,29.47000,30.71500,29.47000,29.45000,29.47000,,-0.014754,-0.016117
10107,31/07/2007,7370,MSFT,MICROSOFT CORP,,,28.99000,31.51000,28.99000,28.98000,28.99000,,-0.031758,-0.032762
10107,31/08/2007,7370,MSFT,MICROSOFT CORP,,0.10000,27.81000,30.00000,28.73000,28.68000,28.69000,,0.011631,0.009678
10107,28/09/2007,7370,MSFT,MICROSOFT CORP,,,28.42010,29.55990,29.46000,29.46000,29.47000,,0.040849,0.039332
10107,31/10/2007,7370,MSFT,MICROSOFT CORP,,,29.45250,36.81000,36.81000,36.79000,36.80000,,0.025834,0.024693
10107,30/11/2007,7370,MSFT,MICROSOFT CORP,,0.11000,32.97000,37.06000,33.60000,33.58000,33.59000,,-0.049327,-0.051275
10107,31/12/2007,7370,MSFT,MICROSOFT CORP,,,32.77000,36.61000,35.60000,35.59000,35.60000,,-0.004428,-0.006515
10107,31/01/2008,7370,MSFT,MICROSOFT CORP,,,31.93000,35.37000,32.60000,32.51000,32.54000,,-0.062147,-0.063252
10107,29/02/2008,7370,MSFT,MICROSOFT CORP,,0.11000,27.19990,30.44980,27.19990,27.20000,27.21000,,-0.021664,-0.023605
10107,31/03/2008,7370,MSFT,MICROSOFT CORP,,,26.99000,29.42000,28.38000,28.34000,28.33000,,-0.010419,-0.012158
10107,30/04/2008,7370,MSFT,MICROSOFT CORP,,,28.06000,31.80000,28.52000,28.52000,28.53000,,0.051106,0.049781
10107,30/05/2008,7370,MSFT,MICROSOFT CORP,,0.11000,28.05000,30.45010,28.32000,28.21000,28.23000,,0.023841,0.021528
10107,30/06/2008,7370,MSFT,MICROSOFT CORP,,,27.12000,29.07000,27.51000,27.53000,27.52000,,-0.078433,-0.080247
10107,31/07/2008,7370,MSFT,MICROSOFT CORP,,,25.15000,27.52000,25.72000,25.73000,25.75000,,-0.013328,-0.014677
10107,29/08/2008,7370,MSFT,MICROSOFT CORP,,0.11000,25.28000,28.13000,27.29000,27.32000,27.33000,,0.010563,0.008574
10107,30/09/2008,7370,MSFT,MICROSOFT CORP,,,24.57000,27.62000,26.69000,26.67000,26.68000,,-0.098007,-0.099796
10107,31/10/2008,7370,MSFT,MICROSOFT CORP,,,21.18000,26.48000,22.33000,22.41000,22.42000,,-0.184621,-0.186108
10107,28/11/2008,7370,MSFT,MICROSOFT CORP,,0.13000,17.53000,23.53000,20.22000,20.23000,20.23000,,-0.084615,-0.087354
10107,31/12/2008,7370,MSFT,MICROSOFT CORP,,,18.61000,21.01000,19.44000,19.44000,19.45000,,0.022148,0.019081
10107,30/01/2009,7370,MSFT,MICROSOFT CORP,,,17.10000,20.76000,17.10000,17.11000,17.12000,,-0.077323,-0.078717
10107,27/02/2009,7370,MSFT,MICROSOFT CORP,,0.13000,16.15000,19.66000,16.15000,16.14000,16.15000,,-0.100214,-0.103401
10107,31/03/2009,7370,MSFT,MICROSOFT CORP,,,15.15000,18.83000,18.37000,18.33000,18.35000,,0.086690,0.083432
10107,30/04/2009,7370,MSFT,MICROSOFT CORP,,,18.61000,20.91000,20.26000,20.26000,20.27000,,0.109359,0.107522
