,PERMNO,NAICS,BIDLO,ASKHI,VOL,BID,ASK,SHROUT,SPREAD,sprtrn,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,PEG_1yrforward,PEG_ltgforward,NEXT_DAY_PREDICTION
73,10107,511210.0,29.89,31.87,9870347.0,31.73,31.74,8390771.0,-0.00999999999999801,0.040589,14.863,0.3,7.582000000000001,11.376,11.5,11.5,11.5,3.696,9.193,0.244,0.326,0.415,0.376,0.8029999999999999,0.387,0.365,0.293,0.42100000000000004,0.41100000000000003,0.175,0.43,0.355,0.43,0.527,0.35200000000000004,0.54,0.831,0.16899999999999998,0.16899999999999998,0.16899999999999998,0.031,0.031,1.093,0.021,0.16899999999999998,0.111,0.39899999999999997,0.0,0.535,0.24600000000000002,1.153,1.117,0.523,0.9229999999999999,6.031000000000001,0.2,0.45299999999999996,0.213,0.8290000000000001,64.946,73.779,2.044,2.727,2.786,0.292,9.395,0.6729999999999999,5.904,3.761,1.023,1.2309999999999999,1.556,0.13,0.027000000000000003,0.0,0.053,4.085,0.7829999999999999,0.0252,-20.961,1.367,1.0
74,10107,511210.0,31.555,32.85,9445449.0,32.24,32.25,8400000.0,-0.00999999999999801,0.031332,15.120999999999999,0.3,7.582000000000001,11.561,11.687000000000001,11.687000000000001,11.687000000000001,3.76,9.353,0.244,0.326,0.415,0.376,0.8029999999999999,0.387,0.365,0.293,0.42100000000000004,0.41100000000000003,0.175,0.43,0.355,0.43,0.527,0.35200000000000004,0.54,0.831,0.16899999999999998,0.16899999999999998,0.16899999999999998,0.031,0.031,1.093,0.021,0.16899999999999998,0.111,0.39899999999999997,0.0,0.535,0.24600000000000002,1.153,1.117,0.523,0.9229999999999999,6.031000000000001,0.2,0.45299999999999996,0.213,0.8290000000000001,64.946,73.779,2.044,2.727,2.786,0.292,9.395,0.6729999999999999,5.904,3.761,1.023,1.2309999999999999,1.556,0.13,0.027000000000000003,0.0,0.053,4.155,0.7959999999999999,0.0248,-21.784000000000002,1.4680000000000002,0.0
76,10107,511210.0,29.06,32.01,10123951.0,29.19,29.2,8400866.0,-0.00999999999999801,-0.062651,13.332,0.259,7.87,10.5,10.652999999999999,10.652999999999999,10.652999999999999,3.358,8.204,0.259,0.32,0.419,0.38,0.805,0.387,0.359,0.28600000000000003,0.391,0.39399999999999996,0.175,0.39899999999999997,0.331,0.39899999999999997,0.51,0.34600000000000003,0.527,0.8390000000000001,0.161,0.161,0.161,0.032,0.032,1.123,0.021,0.166,0.107,0.39,0.0,0.537,0.242,1.156,1.129,0.523,0.922,6.077999999999999,0.188,0.442,0.203,0.7909999999999999,62.757,73.392,2.092,2.7689999999999997,2.83,3.197,8.878,0.654,5.872999999999999,3.739,0.9840000000000001,1.172,1.508,0.132,0.027000000000000003,0.0,0.06,3.497,0.636,0.0274,9.552,1.347,1.0
77,10107,511210.0,28.45,30.93,9679085.0,30.58,30.59,8381000.0,-0.010000000000001563,0.039555,13.939,0.259,7.87,11.004000000000001,11.164000000000001,11.164000000000001,11.164000000000001,3.51,8.577,0.259,0.32,0.419,0.38,0.805,0.387,0.359,0.28600000000000003,0.391,0.39399999999999996,0.175,0.39899999999999997,0.331,0.39899999999999997,0.51,0.34600000000000003,0.527,0.8390000000000001,0.161,0.161,0.161,0.032,0.032,1.123,0.021,0.166,0.107,0.39,0.0,0.537,0.242,1.156,1.129,0.523,0.922,6.077999999999999,0.188,0.442,0.203,0.7909999999999999,62.757,73.392,2.092,2.7689999999999997,2.83,3.197,8.878,0.654,5.872999999999999,3.739,0.9840000000000001,1.172,1.508,0.132,0.027000000000000003,0.0,0.06,3.656,0.667,0.0262,-30.031999999999996,1.089,0.0
79,10107,511210.0,29.19,30.9,6689457.0,30.81,30.82,8383397.0,-0.010000000000001563,0.019763,14.175,0.266,8.736,11.167,11.289000000000001,15.41,15.41,3.505,8.17,0.396,0.23,0.41700000000000004,0.379,0.8,0.302,0.271,0.267,0.268,0.38,0.23800000000000002,0.275,0.24600000000000002,0.275,0.486,0.317,0.486,0.861,0.139,0.155,0.139,0.034,0.032,1.148,0.013000000000000001,0.185,0.098,0.389,0.10300000000000001,0.595,0.195,0.94,0.968,0.5760000000000001,0.927,6.64,0.157,0.45299999999999996,0.195,0.8270000000000001,45.678999999999995,73.568,1.929,2.568,2.603,3.7289999999999996,11.775,0.6409999999999999,4.792,3.4730000000000003,0.956,1.111,1.4069999999999998,0.133,0.022000000000000002,0.0,0.127,3.785,1.4409999999999998,0.026000000000000002,1.4509999999999998,1.767,0.0
80,10107,511210.0,29.76,31.45,8907887.0,29.75,29.76,8422000.0,-0.010000000000001563,0.024236,13.751,0.266,8.736,10.783,10.901,14.88,14.88,3.4,7.925,0.396,0.23,0.41700000000000004,0.379,0.8,0.302,0.271,0.267,0.268,0.38,0.23800000000000002,0.275,0.24600000000000002,0.275,0.486,0.317,0.486,0.861,0.139,0.155,0.139,0.034,0.032,1.148,0.013000000000000001,0.185,0.098,0.389,0.10300000000000001,0.595,0.195,0.94,0.968,0.5760000000000001,0.927,6.64,0.157,0.45299999999999996,0.195,0.8270000000000001,45.678999999999995,73.568,1.929,2.568,2.603,3.7289999999999996,11.775,0.6409999999999999,4.792,3.4730000000000003,0.956,1.111,1.4069999999999998,0.133,0.022000000000000002,0.0,0.127,3.6719999999999997,1.392,0.0269,1.4509999999999998,1.786,0.0
81,10107,511210.0,27.88,30.03,11047390.0,28.53,28.54,8416462.0,-0.00999999999999801,-0.019788999999999998,13.177999999999999,0.266,8.736,10.341,10.454,14.27,14.27,3.258,7.595,0.396,0.23,0.41700000000000004,0.379,0.8,0.302,0.271,0.267,0.268,0.38,0.23800000000000002,0.275,0.24600000000000002,0.275,0.486,0.317,0.486,0.861,0.139,0.155,0.139,0.034,0.032,1.148,0.013000000000000001,0.185,0.098,0.389,0.10300000000000001,0.595,0.195,0.94,0.968,0.5760000000000001,0.927,6.64,0.157,0.45299999999999996,0.195,0.8270000000000001,45.678999999999995,73.568,1.929,2.568,2.603,3.7289999999999996,11.775,0.6409999999999999,4.792,3.4730000000000003,0.956,1.111,1.4069999999999998,0.133,0.022000000000000002,0.0,0.127,3.5189999999999997,1.335,0.027999999999999997,1.558,1.679,0.0
82,10107,511210.0,26.5209,29.86,12895966.0,26.59,26.6,8416462.0,-0.010000000000001563,0.0028469999999999997,12.056,0.28300000000000003,8.99,10.197000000000001,10.315999999999999,14.386,14.386,3.096,7.085,0.428,0.217,0.401,0.36,0.7929999999999999,0.28300000000000003,0.258,0.253,0.23800000000000002,0.34,0.23800000000000002,0.243,0.207,0.243,0.44799999999999995,0.305,0.485,0.858,0.142,0.153,0.142,0.034,0.032,1.173,0.017,0.158,0.10099999999999999,0.41200000000000003,0.073,0.563,0.21600000000000003,1.004,1.094,0.5760000000000001,0.922,6.257000000000001,0.161,0.434,0.191,0.767,42.223,68.402,2.084,2.707,2.7539999999999996,2.688,10.84,0.611,5.7589999999999995,3.701,0.927,1.08,1.4269999999999998,0.13699999999999998,0.022000000000000002,0.0,0.13699999999999998,3.153,1.1840000000000002,0.0346,2.31,1.631,1.0
83,10107,511210.0,26.37,27.68,9389131.0,26.72,26.73,8374000.0,-0.010000000000001563,0.0070680000000000005,12.038,0.28300000000000003,8.99,10.234,10.353,14.437999999999999,14.437999999999999,3.091,7.074,0.428,0.217,0.401,0.36,0.7929999999999999,0.28300000000000003,0.258,0.253,0.23800000000000002,0.34,0.23800000000000002,0.243,0.207,0.243,0.44799999999999995,0.305,0.485,0.858,0.142,0.153,0.142,0.034,0.032,1.173,0.017,0.158,0.10099999999999999,0.41200000000000003,0.073,0.563,0.21600000000000003,1.004,1.094,0.5760000000000001,0.922,6.257000000000001,0.161,0.434,0.191,0.767,42.223,68.402,2.084,2.707,2.7539999999999996,2.688,10.84,0.611,5.7589999999999995,3.701,0.927,1.08,1.4269999999999998,0.13699999999999998,0.022000000000000002,0.0,0.13699999999999998,3.148,1.188,0.0344,2.628,1.6480000000000001,1.0
84,10107,511210.0,26.46,28.01,11363418.0,27.46,27.47,8376245.0,-0.00999999999999801,0.050428,12.375,0.28300000000000003,8.99,10.517000000000001,10.64,14.838,14.838,3.178,7.272,0.428,0.217,0.401,0.36,0.7929999999999999,0.28300000000000003,0.258,0.253,0.23800000000000002,0.34,0.23800000000000002,0.243,0.207,0.243,0.44799999999999995,0.305,0.485,0.858,0.142,0.153,0.142,0.034,0.032,1.173,0.017,0.158,0.10099999999999999,0.41200000000000003,0.073,0.563,0.21600000000000003,1.004,1.094,0.5760000000000001,0.922,6.257000000000001,0.161,0.434,0.191,0.767,42.223,68.402,2.084,2.707,2.7539999999999996,2.688,10.84,0.611,5.7589999999999995,3.701,0.927,1.08,1.4269999999999998,0.13699999999999998,0.022000000000000002,0.0,0.13699999999999998,3.236,1.2209999999999999,0.0335,3.116,1.788,1.0
