,vwretd,ptb,vwretx,DATE,CAPEI,ewretd,ewretx,PEG_1yrforward,accrual,pretret_earnat,ps,roe,pcf,pe_op_dil,BID,NEXT_DAY_PREDICTION
0,0.041186,4.085,0.038914,1328054400000000000,14.863,0.036494,0.035003,-20.961,0.053,0.35200000000000004,3.696,0.421,9.193,11.5,31.73,1.0
1,0.023994,4.155,0.02211,1330560000000000000,15.121,0.017608000000000002,0.015303,-21.784,0.053,0.35200000000000004,3.76,0.421,9.353,11.687,32.24,0.0
2,-0.06553099999999999,3.497,-0.067942,1335830400000000000,13.332,-0.06843400000000001,-0.070404,9.552,0.06,0.34600000000000003,3.358,0.391,8.204,10.653,29.19,1.0
3,0.038156,3.656,0.036055,1338508800000000000,13.939,0.034188,0.031622000000000004,-30.032,0.06,0.34600000000000003,3.51,0.391,8.577,11.164,30.58,0.0
4,0.026265,3.785,0.023665,1343779200000000000,14.175,0.02482,0.022964,1.4509999999999998,0.127,0.317,3.505,0.268,8.17,11.289,30.81,0.0
5,0.026539,3.672,0.024597,1346457600000000000,13.751,0.034925,0.03269,1.4509999999999998,0.127,0.317,3.4,0.268,7.925,10.901,29.75,0.0
6,-0.014101,3.519,-0.01555,1349049600000000000,13.178,-0.013477,-0.014781,1.558,0.127,0.317,3.258,0.268,7.595,10.454,28.53,0.0
7,0.006193,3.153,0.0029530000000000003,1351728000000000000,12.056,0.00279,0.00014199999999999998,2.31,0.13699999999999998,0.305,3.096,0.238,7.085,10.316,26.59,1.0
8,0.012531,3.148,0.00898,1354320000000000000,12.038,0.021872,0.016406,2.628,0.13699999999999998,0.305,3.091,0.238,7.074,10.353,26.72,1.0
9,0.054094,3.236,0.052887,1356998400000000000,12.375,0.06350900000000001,0.06268,3.116,0.13699999999999998,0.305,3.178,0.238,7.272,10.64,27.46,1.0
10,0.008331999999999999,3.1060000000000003,0.006128,1359676800000000000,12.584,0.0035,0.00206,3.791,0.125,0.294,3.193,0.225,7.626,10.902,27.77,1.0
11,0.035274,3.1860000000000004,0.033509,1362096000000000000,12.906,0.031419,0.029529000000000007,3.901,0.125,0.294,3.275,0.225,7.8210000000000015,11.218,28.6,1.0
12,0.014944999999999996,3.687,0.013768,1364774400000000000,14.938,0.002477,0.001376,20.735,0.125,0.294,3.79,0.225,9.053,12.98,33.09,1.0
13,0.019067,3.684,0.016509,1367366400000000000,15.75,0.023985,0.022131,24.683000000000003,0.114,0.301,3.834,0.231,9.522,12.691,34.88,0.0
14,-0.015039,3.636,-0.017055,1370044800000000000,15.547,-0.013012,-0.015631,24.432,0.114,0.301,3.785,0.231,9.4,12.562,34.53,0.0
15,-0.025714,3.45,-0.027891000000000003,1375315200000000000,14.594,-0.017278,-0.019029,3.119,0.053,0.269,3.574,0.294,9.649,12.509,33.4,0.0
16,0.037477,3.444,0.035682,1377993600000000000,14.57,0.051828,0.049754,3.418,0.053,0.269,3.568,0.294,9.633,12.464,33.3,1.0
17,0.039852,3.665,0.038565,1380585600000000000,15.504,0.025762,0.024591,7.273,0.053,0.269,3.797,0.294,10.251,13.26,35.35,1.0
18,0.024947,3.795,0.022824,1383264000000000000,16.791,0.023398,0.02166,18.782,0.044,0.282,3.961,0.29600000000000004,11.148,13.716,38.13,0.0
19,0.026126,3.702,0.024071,1385856000000000000,16.379,0.025242,0.02201,21.538,0.044,0.282,3.863,0.29600000000000004,10.874,13.457,37.42,1.0
20,0.046173,3.635,0.043937,1391212800000000000,16.531,0.044257,0.042687,6.244,0.038,0.272,3.811,0.287,11.282,13.682,38.3,1.0
21,0.004469,3.87,0.002751,1393632000000000000,17.6,0.0010279999999999998,-0.0010949999999999998,8.016,0.038,0.272,4.058,0.287,12.012,14.639,41.0,0.0
22,0.001661,3.815,0.000496,1396310400000000000,17.348,-0.022319,-0.023436,7.901,0.038,0.272,4.0,0.287,11.84,14.429,40.39,1.0
23,0.020219,3.768,0.018012,1398902400000000000,17.283,0.006647,0.004858,10.158,0.043,0.247,4.058,0.271,11.816,15.333,40.92,1.0
