,pretret_earnat,divyield,roe,pcf,pe_op_dil,CAPEI,PEG_1yrforward,ptb,BID,accrual,ps,pe_op_basic,cash_lt,PEG_1yrforward,ASKHI,ptb,PEG_ltgforward,NEXT_DAY_PREDICTION
0,0.35200000000000004,0.0252,0.421,9.193,11.5,14.863,-20.961,4.085,31.73,0.053,3.696,11.376,1.093,-20.961,31.87,4.085,1.367,1.0
1,0.35200000000000004,0.0248,0.421,9.353,11.687,15.121,-21.784,4.155,32.24,0.053,3.76,11.561,1.093,-21.784,32.85,4.155,1.4680000000000002,0.0
2,0.34600000000000003,0.0274,0.391,8.204,10.653,13.332,9.552,3.497,29.19,0.06,3.358,10.5,1.123,9.552,32.01,3.497,1.347,1.0
3,0.34600000000000003,0.0262,0.391,8.577,11.164,13.939,-30.032,3.656,30.58,0.06,3.51,11.004,1.123,-30.032,30.93,3.656,1.089,0.0
4,0.317,0.026,0.268,8.17,11.289,14.175,1.4509999999999998,3.785,30.81,0.127,3.505,11.167,1.148,1.4509999999999998,30.9,3.785,1.767,0.0
5,0.317,0.0269,0.268,7.925,10.901,13.751,1.4509999999999998,3.672,29.75,0.127,3.4,10.783,1.148,1.4509999999999998,31.45,3.672,1.786,0.0
6,0.317,0.028,0.268,7.595,10.454,13.178,1.558,3.519,28.53,0.127,3.258,10.341,1.148,1.558,30.03,3.519,1.679,0.0
7,0.305,0.0346,0.238,7.085,10.316,12.056,2.31,3.153,26.59,0.13699999999999998,3.096,10.197,1.173,2.31,29.86,3.153,1.631,1.0
8,0.305,0.0344,0.238,7.074,10.353,12.038,2.628,3.148,26.72,0.13699999999999998,3.091,10.234,1.173,2.628,27.68,3.148,1.648,1.0
9,0.305,0.0335,0.238,7.272,10.64,12.375,3.116,3.236,27.46,0.13699999999999998,3.178,10.517,1.173,3.116,28.01,3.236,1.788,1.0
10,0.294,0.0331,0.225,7.626,10.902,12.584,3.791,3.1060000000000003,27.77,0.125,3.193,10.775,1.207,3.791,28.045,3.1060000000000003,1.823,1.0
11,0.294,0.0322,0.225,7.8210000000000015,11.218,12.906,3.901,3.1860000000000004,28.6,0.125,3.275,11.087,1.207,3.901,28.605,3.1860000000000004,1.876,1.0
12,0.294,0.0278,0.225,9.053,12.98,14.938,20.735,3.687,33.09,0.125,3.79,12.829,1.207,20.735,33.1,3.687,2.115,1.0
13,0.301,0.0264,0.231,9.522,12.691,15.75,24.683000000000003,3.684,34.88,0.114,3.834,12.554,1.23,24.683000000000003,35.08,3.684,2.12,0.0
14,0.301,0.0266,0.231,9.4,12.562,15.547,24.432,3.636,34.53,0.114,3.785,12.425999999999998,1.23,24.432,35.67,3.636,2.048,0.0
15,0.269,0.0275,0.294,9.649,12.509,14.594,3.119,3.45,33.4,0.053,3.574,12.37,1.213,3.119,34.75,3.45,1.5,0.0
16,0.269,0.0276,0.294,9.633,12.464,14.57,3.418,3.444,33.3,0.053,3.568,12.326,1.213,3.418,33.64,3.444,1.483,1.0
17,0.269,0.026,0.294,10.251,13.26,15.504,7.273,3.665,35.35,0.053,3.797,13.113,1.213,7.273,35.73,3.665,1.665,1.0
18,0.282,0.0294,0.29600000000000004,11.148,13.716,16.791,18.782,3.795,38.13,0.044,3.961,13.667,1.264,18.782,38.18,3.795,3.259,0.0
19,0.282,0.029900000000000006,0.29600000000000004,10.874,13.457,16.379,21.538,3.702,37.42,0.044,3.863,13.409,1.264,21.538,38.94,3.702,3.197,1.0
20,0.272,0.0292,0.287,11.282,13.682,16.531,6.244,3.635,38.3,0.038,3.811,13.585,1.264,6.244,38.31,3.635,2.291,1.0
21,0.272,0.0273,0.287,12.012,14.639,17.6,8.016,3.87,41.0,0.038,4.058,14.535,1.264,8.016,40.99,3.87,2.508,0.0
22,0.272,0.0277,0.287,11.84,14.429,17.348,7.901,3.815,40.39,0.038,4.0,14.326,1.264,7.901,41.42,3.815,2.84,1.0
23,0.247,0.0274,0.271,11.816,15.333,17.283,10.158,3.768,40.92,0.043,4.058,15.219,1.263,10.158,40.94,3.768,2.262,1.0
24,0.247,0.0269,0.271,12.004,15.618,17.558,8.277999999999999,3.828,41.7,0.043,4.122,15.502,1.263,8.277999999999999,42.25,3.828,2.3040000000000003,1.0
25,0.247,0.0259,0.271,12.425999999999998,16.165,18.175,10.709,3.963,43.17,0.043,4.267,16.045,1.263,10.709,44.87,3.963,2.35,1.0
26,0.23,0.024700000000000003,0.255,11.614,17.079,18.203,5.048,4.046,45.42,0.065,4.33,16.887999999999998,1.038,5.048,45.43,4.046,2.044,1.0
27,0.23,0.0242,0.255,11.874,17.429000000000002,18.609,5.795,4.137,46.36,0.065,4.427,17.234,1.038,5.795,47.52,4.137,2.086,1.0
28,0.23,0.0239,0.255,12.007,17.65,18.818,5.2170000000000005,4.183,46.92,0.065,4.477,17.454,1.038,5.2170000000000005,46.95,4.183,2.113,1.0
29,0.236,0.0259,0.242,12.171,17.773,19.392,12.327,4.243,47.82,0.069,4.325,17.577,1.161,12.327,49.61,4.243,2.457,0.0
30,0.236,0.0267,0.242,11.789,17.268,18.783,11.977,4.11,46.46,0.069,4.189,17.077,1.161,11.977,48.84,4.11,2.366,0.0
