,0
0,0
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,0
209,0
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,0
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,1
426,0
427,1
428,1
429,1
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,0
438,1
439,0
440,1
441,1
442,0
443,0
444,1
445,0
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,1
463,0
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,0
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,1
530,0
531,1
532,1
533,0
534,1
535,1
536,0
537,1
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,0
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,1
571,0
572,1
573,1
574,1
575,0
576,0
577,1
578,1
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,1
598,0
599,1
600,1
601,0
602,1
603,1
604,1
605,1
606,0
607,0
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,0
617,1
618,0
619,1
620,0
621,1
622,1
623,0
624,0
625,1
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,0
634,1
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,1
649,0
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,1
658,0
659,0
660,1
661,0
662,0
663,1
664,0
665,1
666,0
667,1
668,0
669,0
670,0
671,1
672,1
673,1
674,1
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,1
690,0
691,1
692,1
693,1
694,0
695,1
696,0
697,1
698,0
699,1
700,0
701,1
702,0
703,1
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,1
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,0
738,0
739,1
740,1
741,1
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,1
764,1
765,0
766,0
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,1
777,0
778,0
779,1
780,0
781,0
782,1
783,0
784,1
785,1
786,1
787,1
788,0
789,0
790,1
791,1
792,1
793,1
794,0
795,0
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,1
805,0
806,1
807,1
808,1
809,0
810,1
811,1
812,1
813,1
814,0
815,1
816,1
817,0
818,1
819,1
820,0
821,1
822,1
823,0
824,1
825,1
826,0
827,0
828,0
829,0
830,1
831,0
832,0
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,1
841,1
842,0
843,0
844,1
845,0
846,0
847,1
848,1
849,1
850,1
851,1
852,1
853,0
854,0
855,1
856,0
857,0
858,0
859,1
860,0
861,0
862,1
863,1
864,0
865,0
866,0
867,1
868,0
869,0
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,1
880,0
881,1
882,1
883,1
884,0
885,0
886,1
887,0
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,0
897,1
898,0
899,0
900,0
901,1
902,0
903,0
904,1
905,1
906,0
907,0
908,0
909,1
910,0
911,1
912,0
913,0
914,1
915,1
916,1
917,1
918,1
919,0
920,1
921,0
922,1
923,0
924,1
925,0
926,1
927,1
928,1
929,1
930,0
931,1
932,0
933,0
934,0
935,1
936,0
937,1
938,1
939,1
940,0
941,1
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,1
950,0
951,1
952,1
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,1
961,0
962,1
963,1
964,0
965,0
966,1
967,0
968,0
969,1
970,1
971,1
972,0
973,1
974,0
975,0
976,1
977,1
978,0
979,0
980,0
981,1
982,1
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,1
992,0
993,1
994,0
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,1
1021,1
1022,1
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,1
1036,1
1037,1
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,1
1045,1
1046,0
1047,0
1048,1
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,1
