,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
1530,20.773000000000003,9.957,0.0354,10.644,18.484,15.633,15.468,0.547,5.962999999999999,1.811,0.134,0.466,13.678,18.484,0.552
1397,25.089,8.509,0.0398,9.246,39.232,17.296,17.203,0.461,5.702000000000001,2.189,0.058,1.337,1.521,39.232,0.662
2238,12.337,1.993,0.0268,12.474,13.062,9.209,9.135,0.911,2.248,1.0759999999999998,0.086,0.229,0.38,13.062,0.913
3170,14.924,9.965,0.0121,10.373,17.287,15.411,15.292,0.474,2.02,2.269,0.13699999999999998,0.705,1.334,17.287,0.451
2244,12.689,7.512,0.0269,13.526,15.362,10.504,10.43,0.964,3.414,1.071,0.076,0.203,0.645,15.362,0.912
109,16.055999999999994,10.209,0.0305,11.303,16.393,15.17,15.002,0.248,2.016,3.483,0.235,0.851,-1.796,16.393,0.466
687,10.904000000000002,6.671,0.0333,5.517,9.721,9.721,9.643,0.7040000000000001,1.383,1.4409999999999998,0.17800000000000002,1.3969999999999998,-1.721,9.721,0.408
3077,27.523000000000003,14.26,0.0236,11.19,21.146,21.146,21.034,0.123,1.234,8.344,0.355,2.8960000000000004,1.187,21.146,0.691
1463,12.393,6.691,0.08779999999999999,7.356,9.346,7.439,7.401,0.588,-14.161,1.4680000000000002,0.158,0.6579999999999999,1.142,9.346,0.4270000000000001
1571,18.379,11.509,0.0268,11.098,17.069000000000006,15.112,14.966,0.237,2.276,3.917,0.256,1.211,2.53,17.069000000000006,0.465
2666,17.840999999999994,10.874,0.0275,7.97,49.756,24.878,24.878,0.361,4.523,2.887,0.059,0.8059999999999999,-1.831,49.756,0.21600000000000005
154,19.137,13.427,0.0356,14.298,8.279,8.0,7.941,0.212,0.999,3.814,0.275,1.232,0.532,8.279,0.506
488,18.029,9.324,0.0129,9.602,15.211,15.387,15.162,0.199,1.4780000000000002,4.797,0.306,2.162,1.408,15.337,0.7240000000000001
317,11.835,7.661,0.0249,6.172999999999999,9.616,10.887,10.887,0.505,1.173,2.114,0.29,2.511,-0.976,9.616,0.507
883,17.805999999999994,13.065,0.0227,8.995,18.192,16.473,16.258,0.309,1.6969999999999998,3.485,0.213,1.7819999999999998,1.47,18.192,0.616
1806,22.719,20.101,0.0256,14.737,24.13,18.904,19.21,0.184,2.34,6.235,0.28800000000000003,0.914,0.965,24.13,0.516
1499,19.338,7.746,0.0374,7.011,14.861,15.735,13.21,0.812,5.658,1.49,0.111,0.528,7.697,17.258,0.542
1981,20.863000000000003,11.755,0.0122,8.182,17.676,17.934,17.613,0.518,1.418,2.129,0.136,0.8140000000000001,0.955,17.676,0.454
3098,42.289,16.69,0.025765303867403312,13.755,23.535,23.264,23.264,0.2,1.823,5.807,0.235,1.102,1.666,23.535,0.309
2094,25.325,14.292,0.0283,10.207,19.422,19.46,19.233,0.163,1.942,6.899,0.3720000000000001,1.041,1.421,19.422,0.556
2905,15.300999999999998,3.069,0.0573,4.546,17.077,13.413,13.413,0.7190000000000001,3.737,1.5219999999999998,0.125,0.7709999999999999,-4.82,17.077,0.629
589,9.984,9.251,0.0321,9.537,13.488,11.027,10.96,0.077,1.59,13.069,1.041,1.874,-2.589,10.338,0.8809999999999999
2229,14.314,5.06,0.022,12.786,9.766,9.662,9.594,1.096,1.389,1.047,0.117,0.229,1.08,9.766,0.914
2891,15.008,3.145,0.062,5.695,14.544,11.774,11.727,0.667,1.791,1.254,0.117,0.8370000000000001,1.492,14.544,0.564
578,12.368,11.158,0.0229,9.392,12.186,12.004,11.914,0.096,1.356,11.04,0.89,1.873,2.2230000000000003,11.907,0.843
1533,21.591,11.364,0.0334,10.929,19.228,16.747,16.658,0.56,22.102,1.882,0.136,0.463,14.229,19.228,0.5489999999999999
977,28.027,14.0,0.02,12.803,21.169,21.627,20.369,0.353,1.791,2.704,0.165,0.877,1.452,21.494,0.519
2998,11.341,7.9289999999999985,0.0277,9.136,12.822,13.983,13.923,0.38,1.128,1.962,0.17600000000000002,2.113,-0.86,13.983,0.515
1749,18.076,13.035,0.0235,8.717,16.062,15.935,15.785,0.276,1.651,3.916,0.271,1.36,2.659,16.062,0.487
1586,14.433,10.437,0.0355,9.752,12.07,12.536,12.368,0.312,1.52,3.357,0.285,1.182,-13.73,12.07,0.485
1945,13.47,10.99,0.0139,8.21,13.652,12.882,12.623,1.078,1.868,1.31,0.109,0.7929999999999999,-0.5529999999999999,13.652,0.461
1804,19.656,22.962,0.0294,14.663,23.495,17.582,17.948,0.18,2.214,5.757999999999999,0.257,0.893,1.039,23.495,0.519
2952,41.351000000000006,4.333,0.042,5.7120000000000015,93.537,54.312,54.312,0.415,8.307,2.419,0.044,0.8909999999999999,4.9110000000000005,93.537,0.61
2441,17.89,12.082,0.016399999999999998,12.041,4.56,4.56,4.485,0.241,0.42,2.9560000000000004,0.214,1.965,0.284,4.56,0.314
3103,32.27,13.512,0.025765303867403312,14.553,20.318,20.552,20.318,0.191,1.483,4.401,0.244,1.099,1.168,20.318,0.35200000000000004
1059,21.081,14.640999999999998,0.0305,13.748,23.03,20.968000000000004,20.117,0.338,2.915,2.9730000000000003,0.159,0.883,-36.76300000000001,22.24,0.513
1118,10.841,5.39,0.0322,8.94,24.298,23.963,23.745,0.25,2.43,4.079,0.181,1.219,-0.377,24.298,0.883
1444,21.927,12.064,0.0454,9.375,9.873,14.446,14.446,0.45,3.435,2.251,0.149,0.645,4.064,17.757,0.3670000000000001
1288,27.436,11.503,0.0226,13.367,21.648000000000003,20.479,20.254,0.146,2.094,6.325,0.442,3.755,4.937,21.648000000000003,0.838
3527,16.506,10.904000000000002,0.0183,8.316,15.028,15.028,14.783,0.426,1.813,2.33,0.174,2.577,27.551,15.028,0.597
531,15.409,8.396,0.0194,8.217,12.703,13.049,12.849,0.135,1.131,7.9129999999999985,0.715,2.299,0.993,12.703,0.799
1700,11.662,8.032,0.0348,8.545,10.898,10.695,10.538,0.258,0.964,3.268,0.317,1.5659999999999998,3.015,10.898,0.537
1341,7.761,6.259,0.063,8.254,9.845,7.689,7.601,0.6509999999999999,0.933,1.172,0.136,2.062,-0.476,9.881,0.5820000000000001
1303,23.732,12.505,0.0252,10.755999999999998,18.044,19.804,19.562,0.076,1.457,12.390999999999998,0.45,4.785,-31.035,18.044,0.8809999999999999
3347,298.053,25.319000000000006,0.0062,13.53,11.064,6.436,6.412000000000001,0.619,0.555,1.17,0.053,0.302,0.453,11.064,0.334
2545,12.634,10.796,0.0207,26.043000000000006,26.595,29.525,29.525,0.486,1.83,3.087,0.149,0.422,-0.46,24.709,0.8909999999999999
2218,10.161,1.281,0.0336,13.003,8.158,8.487,8.447000000000001,1.033,1.16,0.75,0.101,0.24,-2.436,8.158,0.919
3516,16.836,16.077,0.0154,7.049,14.201,14.201,13.983,0.588,1.349,2.181,0.17800000000000002,2.542,3.946,14.201,0.59
1426,18.913,7.615,0.0322,9.042,13.47,15.991,15.515,0.425,1.663,2.893,0.208,1.224,2.6180000000000003,13.47,0.648
3194,14.753,8.587,0.0312,9.586,11.848,12.316,12.111,0.488,1.414,1.907,0.17600000000000002,0.684,-7.978,11.848,0.417
1003,17.569000000000006,9.909,0.0315,10.3,14.58,17.112000000000002,16.334,0.428,2.082,2.258,0.171,0.882,-5.607,17.112000000000002,0.509
3536,21.249,14.012,0.0127,9.805,20.753,20.753,20.465,0.358,2.146,3.268,0.174,2.617,2.366,20.753,0.608
3410,30.205,14.101,0.0075,15.928,6.079,6.079,6.051,0.239,0.35700000000000004,3.343,0.205,0.459,0.327,6.079,0.263
3353,60.087,68.256,0.0062,13.424,26.129,28.421,28.322,0.525,1.32,1.411,0.104,0.297,1.192,26.129,0.282
776,51.8,14.335,0.025765303867403312,11.038,2.793,2.802,2.757,0.202,0.134,5.3889999999999985,0.401,1.65,0.054000000000000006,2.793,0.348
3046,14.652,9.007,0.0304,8.522,14.74,14.74,14.674,0.337,1.091,2.785,0.19,2.427,0.935,14.74,0.5539999999999999
536,16.336,10.099,0.0161,8.857999999999997,14.052,14.389,14.188,0.13,1.288,8.427999999999999,0.649,2.218,1.038,14.052,0.7959999999999999
2509,26.322,10.21,0.0104,20.957,20.213,21.332,20.946,0.162,1.715,6.645,0.282,0.65,1.183,21.254,0.908
1737,15.851,11.64,0.0254,9.171,14.722,14.722,14.5,0.337,1.439,3.551,0.262,1.355,5.291,14.722,0.458
3079,28.653,14.765,0.0232,11.289,20.653,20.866,20.759,0.116,1.269,8.757,0.378,2.889,1.195,20.653,0.679
796,26.373,9.826,0.0199,10.72,12.054,12.054,11.921,0.211,0.583,3.784,0.428,1.324,1.13,12.054,0.329
