,RET,RETX,vwretx,ewretx,sprtrn,vwretd,ewretd,pe_op_dil,cash_ratio,pe_inc,ALTPRC,debt_ebitda,ALTPRCDT,fcf_ocf,PRC
1530,0.024041999999999997,0.024041999999999997,0.038183,0.032156,0.037655,0.040186,0.033697000000000005,15.633,1.481,18.484,29.39,1.704,20140829.0,0.932,29.39
1397,-0.057168,-0.066454,-0.017055,-0.015631,-0.014999,-0.015039,-0.013012,17.296,0.321,39.232,32.17,3.055,20130628.0,0.441,32.17
2238,0.026373,0.026373,0.043937,0.042687,0.043117,0.046173,0.044257,9.209,0.7064464135021098,13.062,56.82,8.714,20140228.0,1.0,56.82
3170,0.011962,0.011962,0.038914,0.035003,0.040589,0.041186,0.036494,15.411,2.48,17.287,19.88,1.464,20120229.0,0.8959999999999999,19.88
2244,0.030864999999999997,0.030864999999999997,0.038183,0.032156,0.037655,0.040186,0.033697000000000005,10.504,0.7064464135021098,15.362,59.45,9.637,20140829.0,1.0,59.45
109,-0.072862,-0.072862,-0.012255,-0.007204,-0.017396000000000002,-0.010439,-0.005111999999999999,15.17,2.06,16.393,40.655,0.713,20150331.0,0.836,40.655
687,-0.012675,-0.012675,0.038565,0.024591,0.044596,0.039852,0.025762,9.721,0.615,9.721,119.96,0.338,20131031.0,0.0,119.96
3077,0.004802000000000001,0.004802000000000001,0.000496,-0.023436,0.006201,0.001661,-0.022319,21.146,0.179,21.146,79.51,1.364,20140430.0,0.818,79.51
1463,-0.17673599999999998,-0.17673599999999998,-0.078717,-0.025384,-0.08565700000000001,-0.077323,-0.024042,7.439,1.205,9.346,14.58,0.773,20090130.0,0.877,14.58
1571,-0.012116,-0.018688999999999997,-0.023605,-0.022916,-0.034761,-0.021664,-0.021401,15.112,0.47,17.069000000000006,61.96,0.532,20080229.0,0.807,61.96
2666,0.0625,0.0625,0.026392,0.051972,0.017771000000000002,0.028419,0.055001,24.878,1.621,49.756,20.4,0.141,20091231.0,0.498,20.4
154,-0.056329,-0.056329,-0.078717,-0.025384,-0.08565700000000001,-0.077323,-0.024042,8.0,0.414,8.279,42.72,1.073,20090130.0,0.738,42.72
