pe_op_dil,CAPEI,pe_op_basic,divyield,pe_exi,pcf,ptb,PEG_ltgforward,bm,evm,ps,pe_inc,PEG_1yrforward,PEG_trailing,dpr,GProf,roe,short_debt,invt_act,roce
15.633,20.773000000000003,15.468,0.0354,18.484,9.957,1.811,5.962999999999999,0.547,10.644,3.703,18.484,13.678,1.181,0.623,0.245,0.102,0.173,0.108,0.14
17.296,25.089,17.203,0.0398,39.232,8.509,2.189,5.702000000000001,0.461,9.246,0.6890000000000001,39.232,1.521,0.6679999999999999,2.175,0.16399999999999998,0.067,0.084,0.368,0.105
9.209,12.337,9.135,0.0268,13.062,1.993,1.0759999999999998,2.248,0.911,12.474,2.0340000000000003,13.062,0.38,3.048,0.337,0.04,0.091,0.532,0.152,0.075
15.411,14.924,15.292,0.0121,17.287,9.965,2.269,2.02,0.474,10.373,2.449,17.287,1.334,0.98,0.155,0.338,0.13699999999999998,0.07400000000000001,0.028,0.139
10.504,12.689,10.43,0.0269,15.362,7.512,1.071,3.414,0.964,13.526,2.181,15.362,0.645,0.98,0.516,0.037000000000000005,0.081,0.471,0.152,0.069
15.17,16.055999999999994,15.002,0.0305,16.393,10.209,3.483,2.016,0.248,11.303,3.544,16.393,-1.796,7.737,0.459,0.398,0.228,0.198,0.022,0.254
9.721,10.904000000000002,9.643,0.0333,9.721,6.671,1.4409999999999998,1.383,0.7040000000000001,5.517,1.088,9.721,-1.721,0.6459999999999999,0.297,0.21,0.158,0.107,0.125,0.201
21.146,27.523000000000003,21.034,0.0236,21.146,14.26,8.344,1.234,0.123,11.19,1.38,21.146,1.187,0.91,0.417,0.6759999999999999,0.34600000000000003,0.002,0.7240000000000001,0.328
7.439,12.393,7.401,0.08779999999999999,9.346,6.691,1.4680000000000002,-14.161,0.588,7.356,2.197,9.346,1.142,0.388,0.7959999999999999,0.37,0.14300000000000002,0.528,0.106,0.192
15.112,18.379,14.966,0.0268,17.069000000000006,11.509,3.917,2.276,0.237,11.098,2.8760000000000003,17.069000000000006,2.53,1.9,0.442,0.569,0.248,0.258,0.171,0.307
24.878,17.840999999999994,24.878,0.0275,49.756,10.874,2.887,4.523,0.361,7.97,3.437,49.756,-1.831,0.98,1.341,0.443,0.059,0.027000000000000003,0.16,0.16399999999999998
8.0,19.137,7.941,0.0356,8.279,13.427,3.814,0.999,0.212,14.298,3.074,8.279,0.532,1.383,0.5539999999999999,0.473,0.255,0.7120000000000001,0.159,0.269
15.387,18.029,15.162,0.0129,15.337,9.324,4.797,1.4780000000000002,0.199,9.602,1.53,15.211,1.408,1.256,0.179,0.426,0.295,0.392,0.063,0.236
10.887,11.835,10.887,0.0249,9.616,7.661,2.114,1.173,0.505,6.172999999999999,0.972,9.616,-0.976,0.51,0.209,0.247,0.234,0.435,0.212,0.289
16.473,17.805999999999994,16.258,0.0227,18.192,13.065,3.485,1.6969999999999998,0.309,8.995,1.324,18.192,1.47,3.918,0.354,0.279,0.213,0.153,0.324,0.25
18.904,22.719,19.21,0.0256,24.13,20.101,6.235,2.34,0.184,14.737,5.384,24.13,0.965,0.98,0.615,0.446,0.284,0.25,0.133,0.241
15.735,19.338,13.21,0.0374,17.258,7.746,1.49,5.658,0.812,7.011,2.475,14.861,7.697,15.663,0.636,0.284,0.092,0.139,0.14,0.14300000000000002
17.934,20.863000000000003,17.613,0.0122,17.676,11.755,2.129,1.418,0.518,8.182,2.116,17.676,0.955,1.175,0.208,0.138,0.126,0.237,0.16399999999999998,0.158
23.264,42.289,23.264,0.0254,23.535,16.69,5.807,1.823,0.2,13.755,4.905,23.535,1.666,0.7020000000000001,0.0,0.536,0.235,0.194,0.092,0.305
19.46,25.325,19.233,0.0283,19.422,14.292,6.899,1.942,0.163,10.207,3.839,19.422,1.421,2.11,0.473,0.366,0.341,0.08900000000000001,0.027000000000000003,0.307
13.413,15.300999999999998,13.413,0.0573,17.077,3.069,1.5219999999999998,3.737,0.7190000000000001,4.546,0.893,17.077,-4.82,10.193,0.944,0.29,0.092,0.118,0.105,0.191
11.027,9.984,10.96,0.0321,10.338,9.251,13.069,1.59,0.077,9.537,1.76,13.488,-2.589,1.943,0.279,0.424,1.036,0.207,0.046,0.306
9.662,14.314,9.594,0.022,9.766,5.06,1.047,1.389,1.096,12.786,1.934,9.766,1.08,0.29100000000000004,0.284,0.04,0.122,0.528,0.152,0.07
11.774,15.008,11.727,0.062,14.544,3.145,1.254,1.791,0.667,5.695,0.882,14.544,1.492,0.98,0.8340000000000001,0.299,0.091,0.128,0.097,0.213
12.004,12.368,11.914,0.0229,11.907,11.158,11.04,1.356,0.096,9.392,1.978,12.186,2.2230000000000003,1.243,0.242,0.4370000000000001,0.87,0.218,0.049,0.35200000000000004
16.747,21.591,16.658,0.0334,19.228,11.364,1.882,22.102,0.56,10.929,3.922,19.228,14.229,1.938,0.624,0.244,0.102,0.177,0.108,0.13699999999999998
21.627,28.027,20.369,0.02,21.494,14.0,2.704,1.791,0.353,12.803,2.736,21.169,1.452,2.18,0.425,0.315,0.14,0.363,0.29600000000000004,0.157
13.983,11.341,13.923,0.0277,13.983,7.9289999999999985,1.962,1.128,0.38,9.136,0.705,12.822,-0.86,3.056,0.35600000000000004,0.478,0.168,0.036000000000000004,0.6629999999999999,0.22
15.935,18.076,15.785,0.0235,16.062,13.035,3.916,1.651,0.276,8.717,2.334,16.062,2.659,0.917,0.366,0.467,0.27,0.152,0.27,0.292
12.536,14.433,12.368,0.0355,12.07,10.437,3.357,1.52,0.312,9.752,2.4290000000000003,12.07,-13.73,1.284,0.398,0.545,0.276,0.388,0.152,0.277
12.882,13.47,12.623,0.0139,13.652,10.99,1.31,1.868,1.078,8.21,1.284,13.652,-0.5529999999999999,0.861,0.185,0.121,0.102,0.195,0.145,0.127
17.582,19.656,17.948,0.0294,23.495,22.962,5.757999999999999,2.214,0.18,14.663,4.805,23.495,1.039,0.98,0.691,0.4370000000000001,0.254,0.218,0.13,0.228
54.312,41.351000000000006,54.312,0.042,93.537,4.333,2.419,8.307,0.415,5.7120000000000015,1.222,93.537,4.9110000000000005,0.98,3.5780000000000003,0.321,0.026,0.142,0.043,0.183
4.56,17.89,4.485,0.016399999999999998,4.56,12.082,2.9560000000000004,0.42,0.241,12.041,1.483,4.56,0.284,0.465,0.257,0.6779999999999999,0.214,0.326,0.206,0.264
20.552,32.27,20.318,0.0254,20.318,13.512,4.401,1.483,0.191,14.553,4.001,20.318,1.168,0.813,0.0,0.532,0.244,0.0,0.066,0.311
20.968000000000004,21.081,20.117,0.0305,22.24,14.640999999999998,2.9730000000000003,2.915,0.338,13.748,2.877,23.03,-36.76300000000001,16.867,0.677,0.29600000000000004,0.13699999999999998,0.423,0.245,0.146
23.963,10.841,23.745,0.0322,24.298,5.39,4.079,2.43,0.25,8.94,0.8690000000000001,24.298,-0.377,0.98,0.77,0.18,0.18,0.316,0.268,0.105
14.446,21.927,14.446,0.0454,17.757,12.064,2.251,3.435,0.45,9.375,3.671,9.873,4.064,0.08900000000000001,0.695,0.39,0.131,0.348,0.14400000000000002,0.195
20.479,27.436,20.254,0.0226,21.648000000000003,11.503,6.325,2.094,0.146,13.367,1.086,21.648000000000003,4.937,2.029,0.359,0.166,0.442,0.162,0.659,0.334
15.028,16.506,14.783,0.0183,15.028,10.904000000000002,2.33,1.813,0.426,8.316,0.647,15.028,27.551,1.817,0.202,0.375,0.163,0.107,0.0,0.195
13.049,15.409,12.849,0.0194,12.703,8.396,7.9129999999999985,1.131,0.135,8.217,1.711,12.703,0.993,0.7090000000000001,0.214,0.476,0.71,0.188,0.056,0.387
10.695,11.662,10.538,0.0348,10.898,8.032,3.268,0.964,0.258,8.545,1.536,10.898,3.015,0.908,0.369,0.509,0.314,0.294,0.285,0.33
7.689,7.761,7.601,0.063,9.881,6.259,1.172,0.933,0.6509999999999999,8.254,0.418,9.845,-0.476,0.98,0.616,0.183,0.13,0.244,0.37,0.127
19.804,23.732,19.562,0.0252,18.044,12.505,12.390999999999998,1.457,0.076,10.755999999999998,1.06,18.044,-31.035,1.3869999999999998,0.381,0.172,0.45,0.118,0.7120000000000001,0.353
6.436,298.053,6.412000000000001,0.0062,11.064,25.319000000000006,1.17,0.555,0.619,13.53,4.533,11.064,0.453,0.98,0.261,0.108,0.047,0.392,0.0,0.157
29.525,12.634,29.525,0.0207,24.709,10.796,3.087,1.83,0.486,26.043000000000006,1.466,26.595,-0.46,0.98,0.745,0.029,0.159,0.16699999999999998,0.152,0.032
8.487,10.161,8.447000000000001,0.0336,8.158,1.281,0.75,1.16,1.033,13.003,1.236,8.158,-2.436,0.057,0.312,0.039,0.105,0.507,0.152,0.067
14.201,16.836,13.983,0.0154,14.201,16.077,2.181,1.349,0.588,7.049,0.654,14.201,3.946,0.996,0.163,0.365,0.175,0.139,0.0,0.208
15.991,18.913,15.515,0.0322,13.47,7.615,2.893,1.663,0.425,9.042,1.168,13.47,2.6180000000000003,0.295,0.562,0.193,0.243,0.08900000000000001,0.326,0.156
12.316,14.753,12.111,0.0312,11.848,8.587,1.907,1.414,0.488,9.586,2.3,11.848,-7.978,0.934,0.35200000000000004,0.32299999999999995,0.17600000000000002,0.152,0.024,0.163
