ewretx,sprtrn,ewretd,vwretx,vwretd,SHRENDDT,ALTPRCDT,pe_op_basic,pe_op_dil,CAPEI,RETX,RET,divyield,VOL,pe_exi,pcf,pe_inc,PEG_ltgforward,ps,ptb
0.032156,0.037655,0.033697000000000005,0.038183,0.040186,20140929.0,20140829.0,15.468,15.633,20.773000000000003,0.024041999999999997,0.024041999999999997,0.0354,4611190.0,18.484,9.957,18.484,5.962999999999999,3.703,1.811
-0.015631,-0.014999,-0.013012,-0.017055,-0.015039,20130730.0,20130628.0,17.203,17.296,25.089,-0.066454,-0.057168,0.0398,1296447.0,39.232,8.509,39.232,5.702000000000001,0.6890000000000001,2.189
0.042687,0.043117,0.044257,0.043937,0.046173,20140330.0,20140228.0,9.135,9.209,12.337,0.026373,0.026373,0.0268,3473222.0,13.062,1.993,13.062,2.248,2.0340000000000003,1.0759999999999998
0.035003,0.040589,0.036494,0.038914,0.041186,20120426.0,20120229.0,15.292,15.411,14.924,0.011962,0.011962,0.0121,10100617.0,17.287,9.965,17.287,2.02,2.449,2.269
0.032156,0.037655,0.033697000000000005,0.038183,0.040186,20140929.0,20140829.0,10.43,10.504,12.689,0.030864999999999997,0.030864999999999997,0.0269,2415634.0,15.362,7.512,15.362,3.414,2.181,1.071
-0.007204,-0.017396000000000002,-0.005111999999999999,-0.012255,-0.010439,20150415.0,20150331.0,15.002,15.17,16.055999999999994,-0.072862,-0.072862,0.0305,8243346.0,16.393,10.209,16.393,2.016,3.544,3.483
0.024591,0.044596,0.025762,0.038565,0.039852,20131128.0,20131031.0,9.643,9.721,10.904000000000002,-0.012675,-0.012675,0.0333,1413585.0,9.721,6.671,9.721,1.383,1.088,1.4409999999999998
-0.023436,0.006201,-0.022319,0.000496,0.001661,20140529.0,20140430.0,21.034,21.146,27.523000000000003,0.004802000000000001,0.004802000000000001,0.0236,1618845.0,21.146,14.26,21.146,1.234,1.38,8.344
-0.025384,-0.08565700000000001,-0.024042,-0.078717,-0.077323,20090226.0,20090130.0,7.401,7.439,12.393,-0.17673599999999998,-0.17673599999999998,0.08779999999999999,13122383.0,9.346,6.691,9.346,-14.161,2.197,1.4680000000000002
-0.022916,-0.034761,-0.021401,-0.023605,-0.021664,20080330.0,20080229.0,14.966,15.112,18.379,-0.018688999999999997,-0.012116,0.0268,2189288.0,17.069000000000006,11.509,17.069000000000006,2.276,2.8760000000000003,3.917
0.051972,0.017771000000000002,0.055001,0.026392,0.028419,20100204.0,20091231.0,24.878,24.878,17.840999999999994,0.0625,0.0625,0.0275,10413427.0,49.756,10.874,49.756,4.523,3.437,2.887
-0.025384,-0.08565700000000001,-0.024042,-0.078717,-0.077323,20090226.0,20090130.0,7.941,8.0,19.137,-0.056329,-0.056329,0.0356,2301833.0,8.279,13.427,8.279,0.999,3.074,3.814
0.000857,-0.021846,0.002111,-0.015985,-0.013994,20070329.0,20070228.0,15.162,15.387,18.029,-0.06263200000000001,-0.05960700000000001,0.0129,1257950.0,15.337,9.324,15.211,1.4780000000000002,1.53,4.797
0.03269,0.024236,0.034925,0.024597,0.026539,20121030.0,20120928.0,10.887,10.887,11.835,0.047537,0.047537,0.0249,2542257.0,9.616,7.661,9.616,1.173,0.972,2.114
0.056698,0.014759,0.057842999999999985,0.01893,0.020043,20100527.0,20100430.0,16.258,16.473,17.805999999999994,0.018203999999999998,0.018203999999999998,0.0227,1055621.0,18.192,13.065,18.192,1.6969999999999998,1.324,3.485
-0.07811799999999999,-0.044043,-0.07661699999999999,-0.051275,-0.049327,20071230.0,20071130.0,19.21,18.904,22.719,0.018881000000000002,0.018881000000000002,0.0256,3039615.0,24.13,20.101,24.13,2.34,5.384,6.235
0.08443200000000001,0.043583,0.085342,0.052929,0.054076,20120228.0,20120131.0,13.21,15.735,19.338,-0.011091,-0.011091,0.0374,9483425.0,17.258,7.746,14.861,5.658,2.475,1.49
-0.004484,0.012598,-0.003281,0.009012,0.010266,20120830.0,20120731.0,17.613,17.934,20.863000000000003,0.013196000000000001,0.013196000000000001,0.0122,1775443.0,17.676,11.755,17.676,1.418,2.116,2.129
0.003476,0.000453,0.004836,-0.003552000000000001,-0.001637,20060427.0,20060228.0,23.264,23.264,42.289,0.08993,0.08993,0.0254,13411174.0,23.535,16.69,23.535,1.823,4.905,5.807
0.08443200000000001,0.043583,0.085342,0.052929,0.054076,20120228.0,20120131.0,19.233,19.46,25.325,-0.012758,-0.012758,0.0283,1203715.0,19.422,14.292,19.422,1.942,3.839,6.899
0.051972,0.017771000000000002,0.055001,0.026392,0.028419,20100128.0,20091231.0,13.413,13.413,15.300999999999998,0.053083000000000005,0.053083000000000005,0.0573,3077984.0,17.077,3.069,17.077,3.737,0.893,1.5219999999999998
-0.028387,0.019742,-0.027144,0.010881,0.012095,20150830.0,20150731.0,10.96,11.027,9.984,-0.004118999999999999,-0.004118999999999999,0.0321,938547.0,10.338,9.251,13.488,1.59,1.76,13.069
0.022131,0.020763,0.023985,0.016509,0.019067,20130627.0,20130531.0,9.594,9.662,14.314,0.113854,0.113854,0.022,5499191.0,9.766,5.06,9.766,1.389,1.934,1.047
-0.206835,-0.169425,-0.205222,-0.186108,-0.184621,20081127.0,20081031.0,11.727,11.774,15.008,-0.075413,-0.061078,0.062,5846324.0,14.544,3.145,14.544,1.791,0.882,1.254
0.032156,0.037655,0.033697000000000005,0.038183,0.040186,20140929.0,20140829.0,11.914,12.004,12.368,0.0032869999999999996,0.009026000000000001,0.0229,534642.0,11.907,11.158,12.186,1.356,1.978,11.04
-0.004155,0.024534,-0.002457,0.018986000000000003,0.02115,20141230.0,20141128.0,16.658,16.747,21.591,0.040067,0.048748,0.0334,4066834.0,19.228,11.364,19.228,22.102,3.922,1.882
-0.027567,-0.00596,-0.025309,-0.012158,-0.010419,20080429.0,20080331.0,20.369,21.627,28.027,0.058779,0.058779,0.02,2624103.0,21.494,14.0,21.169,1.791,2.736,2.704
0.023661,0.035794,0.025364,0.039332,0.040849,20071030.0,20070928.0,13.923,13.983,11.341,-0.153224,-0.153224,0.0277,5154519.0,13.983,7.9289999999999985,12.822,1.128,0.705,1.962
0.06268,0.050428,0.06350900000000001,0.052887,0.054094,20130227.0,20130131.0,15.785,15.935,18.076,0.08292999999999999,0.08292999999999999,0.0235,626260.0,16.062,13.035,16.062,1.651,2.334,3.916
0.10021,0.053081,0.10233,0.065138,0.067788,20090629.0,20090529.0,12.368,12.536,14.433,0.053475999999999996,0.062834,0.0355,2572865.0,12.07,10.437,12.07,1.52,2.4290000000000003,3.357
0.083763,0.074142,0.085217,0.08029800000000001,0.081719,20090830.0,20090731.0,12.623,12.882,13.47,0.076725,0.076725,0.0139,2816600.0,13.652,10.99,13.652,1.868,1.284,1.31
0.023661,0.035794,0.025364,0.039332,0.040849,20071030.0,20070928.0,17.948,17.582,19.656,0.030297,0.037870999999999995,0.0294,1907274.0,23.495,22.962,23.495,2.214,4.805,5.757999999999999
0.024591,0.044596,0.025762,0.038565,0.039852,20131128.0,20131031.0,54.312,54.312,41.351000000000006,0.082164,0.093519,0.042,3861739.0,93.537,4.333,93.537,8.307,1.222,2.419
0.006786,-0.001047,0.008605,0.0017809999999999996,0.003366,20110428.0,20110331.0,4.485,4.56,17.89,-0.149725,-0.146243,0.016399999999999998,1062864.0,4.56,12.082,4.56,0.42,1.483,2.9560000000000004
