PERMNO,date,NAICS,DCLRDT,DLAMT,DLPDT,PAYDT,RCRDDT,SHRFLG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,DLRETX,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,31/01/2006,511210,,,,,,0,,,,,,,30/03/2006,,,,26.28000,28.15000,28.15000,13948013,0.076482,28.15000,28.13000,10333369,1,1,28.15000,,31/01/2006,0.076482,0.040044,0.038938,0.076354,0.075150,0.025467
10107,28/02/2006,511210,14/12/2005,,,09/03/2006,17/02/2006,0,1232,0.09000,0.00000,0.00000,,,,,,,26.39000,28.04000,26.87000,11088149,-0.042273,26.87000,26.88000,10333369,1,1,26.87000,,28/02/2006,-0.045471,-0.001637,-0.003552,0.004836,0.003476,0.000453
10107,31/03/2006,511210,,,,,,0,,,,,,,23/04/2006,,,,26.85000,27.89000,27.21000,14514337,0.012653,27.24000,27.24000,10225000,1,1,27.21000,,31/03/2006,0.012653,0.019053,0.017585,0.036978,0.035232,0.011065
10107,28/04/2006,511210,,,,,,0,,,,,,,29/06/2006,,,,24.15000,27.74000,24.15000,14689919,-0.112459,24.16000,24.16000,10201203,1,1,24.15000,,28/04/2006,-0.112459,0.012965,0.011494,0.009791,0.008497,0.012187
10107,31/05/2006,511210,27/03/2006,,,08/06/2006,17/05/2006,0,1232,0.09000,0.00000,0.00000,,,,,,,22.56000,24.29000,22.65000,23651189,-0.058385,22.70000,22.70000,10201203,1,1,22.65000,,31/05/2006,-0.062112,-0.031045,-0.033025,-0.044331,-0.045982,-0.030917
10107,30/06/2006,511210,,,,,,0,,,,,,,17/08/2006,,,,21.51000,23.47020,23.30000,19980809,0.028698,23.38000,23.31000,10062000,1,1,23.30000,,30/06/2006,0.028698,-0.000386,-0.001881,-0.008479,-0.010474,0.000087
10107,31/07/2006,511210,,,,,,0,,,,,,,,,,,22.26000,24.37000,24.06000,13651770,0.032618,24.05000,24.07000,10062000,1,1,24.06000,,31/07/2006,0.032618,-0.001884,-0.002927,-0.022698,-0.023752,0.005086
10107,31/08/2006,511210,22/06/2006,,,14/09/2006,17/08/2006,0,1232,0.09000,0.00000,0.00000,,,07/09/2006,,,,23.99000,26.12000,25.70000,11905970,0.071904,25.68000,25.68000,9969992,1,1,25.70000,,31/08/2006,0.068163,0.025048,0.022975,0.025011,0.023562,0.021274
10107,29/09/2006,511210,,,,,,0,,,,,,,22/10/2006,,,,25.43000,27.44000,27.35000,11080397,0.064202,27.32000,27.33000,9820000,1,1,27.35000,,29/09/2006,0.064202,0.019424,0.018105,0.009006,0.007433,0.024566
10107,31/10/2006,511210,,,,,,0,,,,,,,28/12/2006,,,,27.36000,28.71000,28.71000,12931312,0.049726,28.68000,28.69000,9830460,1,1,28.71000,,31/10/2006,0.049726,0.037133,0.036087,0.046211,0.045186,0.031508
10107,30/11/2006,511210,13/09/2006,,,14/12/2006,16/11/2006,0,1232,0.10000,0.00000,0.00000,,,,,,,28.73000,29.92000,29.36000,12958870,0.026123,29.35000,29.37000,9830460,1,1,29.36000,,30/11/2006,0.022640,0.023705,0.021340,0.031168,0.029505,0.016467
